"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart","Add product to cart success","PENDING","2023-11-27T17:26:05.2660312-05:00[America/Bogota]","0.0","0.19"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-28T15:29:24.3453204-05:00[America/Bogota]","0.0","29.9"
